stage,filter_name,wavelength_um,flux_jy,err_jy,n_epochs
post,F218W,0.218,-1.628101063978225e-07,7.22460884721915e-08,1
post,F300X,0.3,1.595517095196819e-09,1.1993240782720418e-08,2
post,F390W,0.39,2.272019090570499e-08,1.8026452222654502e-08,2
post,F435W,0.435,1.818361784390233e-08,2.184558553675011e-08,1
post,F475W,0.475,2.115987569979766e-08,2.0735694749502877e-08,1
post,F555W,0.555,2.934947664356771e-08,1.496531558225948e-08,2
post,F606W,0.606,6.58129767139465e-08,1.1992326711871361e-08,3
post,F658N,0.658,2.196289614957199e-07,8.246766971082408e-08,1
post,F814W,0.814,1.2245119227571565e-07,3.495611611791034e-08,1
pre,F435W,0.435,2.3079480754897003e-05,2.401538609127969e-08,1
pre,F555W,0.555,8.904380868555898e-05,3.6330000819531135e-07,1
pre,F814W,0.814,1.11264787974048e-05,3.454990767364497e-08,1
